,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Country,Date
84,virginia beach,37.5481,-77.4467,50,55.4,1,6.91,US,1619840460
85,puerto ayora,36.5939,-6.233,62,55.4,20,8.05,ES,1619840537
86,sorland,67.667,12.6934,56,36.36,81,11.52,NO,1619840549
87,anadyr,64.75,177.4833,74,24.8,40,15.66,RU,1619840479
88,san policarpo,13.3034,-4.8956,37,88.3,89,12.21,ML,1619840384
89,hlobyne,49.3878,33.2596,92,53.87,53,7.16,UA,1619840549
90,hilo,19.7297,-155.09,61,80.6,90,10.36,US,1619840381
91,torbay,47.6666,-52.7314,100,37.99,90,25.32,CA,1619840550
92,tuktoyaktuk,69.4541,-133.0374,79,21.2,20,10.36,CA,1619840550
93,cedar city,41.2122,-92.5257,39,64.4,75,8.05,US,1619840551
94,mufumbwe,-13.6833,24.8,95,60.39,80,3.13,ZM,1619840551
95,vardo,70.3705,31.1107,88,32.41,100,17.47,NO,1619840551
96,savannah bight,32.0835,-81.0998,38,73.4,20,10.36,US,1619840552
97,omboue,-1.5746,9.2618,90,76.96,100,4.03,GA,1619840552
98,pisco,-13.7,-76.2167,82,66.2,6,3.38,PE,1619840435
99,saint-leu,-21.15,55.2833,73,75.2,0,2.1,RE,1619840553
100,salalah,17.0151,54.0924,78,80.6,75,3.44,OM,1619840394
101,comodoro rivadavia,-13.6631,-59.7858,79,64.99,1,3.87,BR,1619840553
102,cherkasskoye,52.4333,47.2167,80,49.24,100,12.93,RU,1619840553
103,georgetown,5.4112,100.3354,79,87.8,20,2.3,MY,1619840422
104,bowmore,34.9421,-79.3031,49,68.0,1,9.22,US,1619840554
105,khuzhir,53.1939,107.3397,97,33.33,100,1.68,RU,1619840554
106,gamba,-2.65,10.0,92,76.82,100,3.76,GA,1619840555
107,san francisco,13.3034,-4.8956,37,88.3,89,12.21,ML,1619840384
108,kaitangata,-46.2817,169.8464,52,59.0,76,5.99,NZ,1619840555
109,san quintin,13.3034,-4.8956,37,88.3,89,12.21,ML,1619840384
110,klaksvik,62.2266,-6.589,75,35.6,90,5.75,FO,1619840555
111,butaritari,3.0707,172.7902,72,83.43,76,8.72,KI,1619840556
112,elliot lake,-31.3333,27.85,89,37.74,22,3.36,ZA,1619840556
113,havoysund,70.9963,24.6622,69,35.6,40,25.32,NO,1619840556
114,beipiao,41.7919,120.7792,36,50.9,100,10.36,CN,1619840557
115,otradnoye,59.7775,30.8181,86,36.0,0,4.47,RU,1619840557
116,kodinsk,58.6881,99.1844,66,48.52,37,9.22,RU,1619840303
117,porto walter,41.1496,-8.611,81,46.99,0,4.61,PT,1619840444
118,avarua,-21.2078,-159.775,73,78.8,20,5.75,CK,1619840558
